dataset,gamma,label,local_test_gain_max,local_test_gain_max_over_gamma,local_test_gain_max_over_gamma_std,local_test_gain_max_std,local_test_gain_mean,local_test_gain_mean_std,local_test_gain_p95,local_test_gain_p95_std,param,random_probe_max,random_probe_max_over_gamma,random_probe_max_over_gamma_std,random_probe_max_std,random_probe_mean,random_probe_mean_std,random_probe_p95,random_probe_p95_std,target_gamma,target_gamma_std,worst_case_estimate,worst_case_estimate_std,worst_case_over_gamma,worst_case_over_gamma_std
Three-Tanks (local),2.0,L2RU | Three-Tanks (local) | $\gamma$=2,1.0143765211105347,0.5071882605552673,0.0,0.0,1.0143765211105347,0.0,1.0143765211105347,0.0,l2ru,1.0220050811767578,0.5110025405883789,0.0,0.0,0.9972869157791138,0.0,1.0166457891464233,0.0,2.0,0.0,1.0124146938323975,0.0,0.5062073469161987,0.0
Three-Tanks (local),2.0,ZAK | Three-Tanks (local) | $\gamma$=2,1.0085681676864624,0.5042840838432312,0.0,0.0,1.0085681676864624,0.0,1.0085681676864624,0.0,zak,1.0004768371582031,0.5002384185791016,0.0,0.0,0.9867361783981323,0.0,0.9992437958717346,0.0,2.0,0.0,0.9954931139945984,0.0,0.4977465569972992,0.0
