dataset,gamma,gamma_fixed,label,local_test_gain_max,local_test_gain_max_over_gamma,local_test_gain_mean,local_test_gain_p95,param,random_probe_max,random_probe_max_over_gamma,random_probe_mean,random_probe_p95,regime,seed,target_gamma,worst_case_estimate,worst_case_over_gamma
Cascaded Tanks,2.0,2.0,L2RU | Cascaded Tanks,0.7815501689910889,0.39077508449554443,0.7353067994117737,0.7736344933509827,l2ru,0.8039974570274353,0.40199872851371765,0.7622373104095459,0.7899487614631653,robustness_fixed_gamma,0,2.0,1.069778561592102,0.534889280796051
Cascaded Tanks,2.0,2.0,ZAK | Cascaded Tanks,0.5666916966438293,0.2833458483219147,0.5402058959007263,0.5666637420654297,zak,0.9229477047920227,0.46147385239601135,0.8874436616897583,0.9069772958755493,robustness_fixed_gamma,0,2.0,1.1464343070983887,0.5732171535491943
