dataset,gamma_fixed,label,local_test_gain_max,local_test_gain_max_over_gamma,local_test_gain_max_over_gamma_std,local_test_gain_max_std,local_test_gain_mean,local_test_gain_mean_std,local_test_gain_p95,local_test_gain_p95_std,param,random_probe_max,random_probe_max_over_gamma,random_probe_max_over_gamma_std,random_probe_max_std,random_probe_mean,random_probe_mean_std,random_probe_p95,random_probe_p95_std,regime,target_gamma,target_gamma_std,worst_case_estimate,worst_case_estimate_std,worst_case_over_gamma,worst_case_over_gamma_std
Cascaded Tanks,2.0,L2RU | Cascaded Tanks | fixed $\gamma=2$,0.7815501689910889,0.39077508449554443,0.0,0.0,0.7353067994117737,0.0,0.7736344933509827,0.0,l2ru,0.8039974570274353,0.40199872851371765,0.0,0.0,0.7622373104095459,0.0,0.7899487614631653,0.0,robustness_fixed_gamma,2.0,0.0,1.069778561592102,0.0,0.534889280796051,0.0
Cascaded Tanks,2.0,ZAK | Cascaded Tanks | fixed $\gamma=2$,0.5666916966438293,0.2833458483219147,0.0,0.0,0.5402058959007263,0.0,0.5666637420654297,0.0,zak,0.9229477047920227,0.46147385239601135,0.0,0.0,0.8874436616897583,0.0,0.9069772958755493,0.0,robustness_fixed_gamma,2.0,0.0,1.1464343070983887,0.0,0.5732171535491943,0.0
