dataset,gain_mean,gain_p95,gamma,param,radius,rmse_mean,rmse_std
Three-Tanks (local),0.2260507196187973,0.2260507196187973,2.0,l2ru,0.1,4.1196818351745605,0.0
Three-Tanks (local),0.2165532410144806,0.2165532410144806,2.0,zak,0.1,4.327978610992432,0.0
