dataset,gamma,label,local_test_gain_max,local_test_gain_max_over_gamma,local_test_gain_mean,local_test_gain_p95,param,random_probe_max,random_probe_max_over_gamma,random_probe_mean,random_probe_p95,seed,target_gamma,worst_case_estimate,worst_case_over_gamma
Three-Tanks (local),2.0,L2RU | Three-Tanks (local),0.22579830884933472,0.11289915442466736,0.22579830884933472,0.22579830884933472,l2ru,130.6963653564453,65.34818267822266,130.66476440429688,130.69537353515625,0,2.0,130.77749633789062,65.38874816894531
Three-Tanks (local),2.0,ZAK | Three-Tanks (local),0.2256172150373459,0.11280860751867294,0.2256172150373459,0.2256172150373459,zak,146.20367431640625,73.10183715820312,146.1763916015625,146.20318603515625,0,2.0,146.27735900878906,73.13867950439453
